area_type,availability,location,total_sqft,bath,balcony,price,bhk
Super built-up  Area,19-Dec,Electronic City Phase II,1056,2.0,1.0,39.07,2.0
Plot  Area,Ready To Move,Chikka Tirupathi,2600,5.0,3.0,120.0,4.0
Built-up  Area,Ready To Move,Uttarahalli,1440,2.0,3.0,62.0,3.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,1521,3.0,1.0,95.0,3.0
Super built-up  Area,Ready To Move,Kothanur,1200,2.0,1.0,51.0,2.0
Super built-up  Area,Ready To Move,Whitefield,1170,2.0,1.0,38.0,2.0
Super built-up  Area,18-May,Old Airport Road,2732,4.0,2.0,204.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,1310,3.0,1.0,63.25,3.0
Super built-up  Area,18-Feb,Whitefield,1800,2.0,2.0,70.0,3.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000,2.0,1.0,38.0,2.0
Built-up  Area,Ready To Move,Gottigere,1100,2.0,2.0,40.0,2.0
Plot  Area,Ready To Move,Sarjapur,2250,3.0,2.0,148.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,1175,2.0,2.0,73.5,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,1180,3.0,2.0,48.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1540,3.0,3.0,60.0,3.0
Super built-up  Area,Ready To Move,Manayata Tech Park,1100,2.0,2.0,48.0,2.0
Built-up  Area,Ready To Move,Kengeri,600,1.0,1.0,15.0,1.0
Super built-up  Area,19-Dec,Binny Pete,1755,3.0,1.0,122.0,3.0
Super built-up  Area,Ready To Move,Bellandur,1767,3.0,1.0,103.0,3.0
Super built-up  Area,18-Nov, Thanisandra,510,1.0,0.0,25.25,1.0
Super built-up  Area,18-May,Mangammanapalya,1250,3.0,2.0,56.0,3.0
Super built-up  Area,Ready To Move,Electronic City,660,1.0,1.0,23.1,2.0
Built-up  Area,20-Dec,Whitefield,1610,3.0,2.0,81.0,3.0
Super built-up  Area,17-Oct,Ramagondanahalli,1151,2.0,2.0,48.77,2.0
Super built-up  Area,Ready To Move,Electronic City,1025,2.0,1.0,47.0,3.0
Super built-up  Area,19-Dec,Yelahanka,2100 - 2850,4.0,0.0,186.0,4.0
Super built-up  Area,Ready To Move,Bisuvanahalli,1075,2.0,1.0,35.0,3.0
Super built-up  Area,Ready To Move,Hebbal,1760,2.0,2.0,123.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1693,3.0,3.0,57.39,3.0
Built-up  Area,Ready To Move,Kasturi Nagar,1925,3.0,2.0,125.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,700,2.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1070,2.0,1.0,45.5,2.0
Super built-up  Area,Ready To Move,Kundalahalli,1724,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,Chikkalasandra,1290,2.0,2.0,56.12,3.0
Built-up  Area,Ready To Move,Uttarahalli,1143,2.0,2.0,45.0,2.0
Built-up  Area,Ready To Move,Murugeshpalya,1296,2.0,2.0,81.0,2.0
Super built-up  Area,19-Dec,Sarjapur  Road,1254,3.0,2.0,38.0,3.0
Super built-up  Area,Ready To Move,Ganga Nagar,600,1.0,0.0,38.0,1.0
Plot  Area,Ready To Move,Yelahanka,660,1.0,0.0,48.0,1.0
Super built-up  Area,19-Sep,Kanakpura Road,1330.74,2.0,2.0,91.79,2.0
Super built-up  Area,Ready To Move,Doddathoguru,970,2.0,0.0,33.0,2.0
Super built-up  Area,20-Sep,Whitefield,1459,2.0,1.0,94.82,2.0
Plot  Area,Ready To Move,KR Puram,800,1.0,1.0,130.0,2.0
Built-up  Area,Ready To Move,Himagiri Meadows,869,2.0,1.0,36.0,2.0
Super built-up  Area,Ready To Move,Adarsh Nagar,1270,2.0,1.0,50.0,2.0
Super built-up  Area,18-Mar,Bhoganhalli,1670,3.0,1.0,99.0,3.0
Built-up  Area,Ready To Move,Whitefield,2010,3.0,2.0,91.0,3.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1185,2.0,2.0,75.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,1600,2.0,3.0,75.0,3.0
Super built-up  Area,Ready To Move,Begur Road,1200,2.0,2.0,44.0,2.0
Built-up  Area,20-Feb,Devanahalli,3010 - 3410,2.0,2.0,192.0,4.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,1500,2.0,2.0,185.0,2.0
Plot  Area,Ready To Move,Murugeshpalya,1407,4.0,1.0,150.0,6.0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,840,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Ganga Nagar,845,2.0,1.0,55.0,2.0
Built-up  Area,Ready To Move,Varthur,1160,2.0,2.0,44.0,2.0
Super built-up  Area,Ready To Move,Doddathoguru,1100,2.0,1.0,62.0,2.0
Super built-up  Area,18-Apr,Gunjur,1140,2.0,3.0,43.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,1220,2.0,1.0,57.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,1005,2.0,1.0,36.68,2.0
